URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/newswires/news/national/wray-installed-fbi-director-trump-absent-ceremony-article-1.3528263,90979,106,text/html
http://www.nydailynews.com/amp/opinion/amendment-lessons-liberals-article-1.3531094,29444,18,text/html
http://www.nydailynews.com/new-york/nydn-front-pages-2016-gallery-1.2482879?pmSlide=1.2943587,68103,21,text/html
http://www.nydailynews.com/amp/new-york/nydn-front-pages-2016-gallery-1.2482879,413522,17,text/html
http://www.nydailynews.com/new-york/new-york-city-construction-workers-great-heights-gallery-1.1121866,67952,21,text/html
http://www.nydailynews.com/life-style/north-korea-1970s-gallery-1.3532590?pmSlide=1.3532587,68061,20,text/html
http://www.nydailynews.com/life-style/north-korea-1970s-gallery-1.3532590?pmSlide=1.3532586,67492,20,text/html
http://www.nydailynews.com/life-style/north-korea-1970s-gallery-1.3532590?pmSlide=1.3532573,67500,20,text/html
http://www.nydailynews.com/amp/life-style/north-korea-1970s-gallery-1.3532590,36206,18,text/html
http://www.nydailynews.com/tags/business-newswires,108629,143,text/html
http://www.nydailynews.com/new-york/nydn-front-pages-2016-gallery-1.2482879?pmSlide=1.2504806,67823,21,text/html
http://www.nydailynews.com/sports/hockey,121320,163,text/html
http://www.nydailynews.com/tags/national-anthem-protest,108018,157,text/html
http://www.nydailynews.com/new-york/new-york-daily-news-front-pages-gallery-1.2943303,66743,21,text/html
http://www.nydailynews.com/new-york/nydn-front-pages-2016-gallery-1.2482879?pmSlide=1.2921936,67113,21,text/html
http://www.nydailynews.com/horoscopes/capricorn,108428,131,text/html
http://www.nydailynews.com/login?iframe=true,12581,10,text/html
http://www.nydailynews.com/amp/entertainment/music/jay-z-sports-colin-kaepernick-jersey-saturday-night-live-article-1.3533539,26986,20,text/html
http://www.nydailynews.com/life-style/eats,119451,159,text/html
http://www.nydailynews.com/entertainment/photos,112267,174,text/html
http://www.nydailynews.com/entertainment/amanda-bynes-bizarre-behavior-gallery-1.1332306,68199,21,text/html
http://www.nydailynews.com/sports/athletes-made-move-pro-sports-politics-gallery-1.3527928,68743,21,text/html
http://www.nydailynews.com/new-york/education/bronx-zoo-school-bully-killed-violent-article-1.3526177,92452,117,text/html
http://www.nydailynews.com/new-york/queens/jay-z-2017-meadows-festival-gallery-1.3500326,67194,21,text/html
http://www.nydailynews.com/tags/us-newswires/stories/9,104662,138,text/html
http://www.nydailynews.com/autos/news/bmw-mini-amazon-alexa-integration-mid-2018-article-1.3530003,82997,105,text/html
http://www.nydailynews.com/sports/more-sports,118938,156,text/html
http://www.nydailynews.com/new-york/education/pace-university-students-blame-school-active-shooter-scare-article-1.3509860,94508,114,text/html
http://www.nydailynews.com/new-york/education/learning-autism-gallery-1.39677,66825,21,text/html
http://www.nydailynews.com/new-york/education/high-tech-schools-gallery-1.50327,66639,21,text/html
http://www.nydailynews.com/entertainment/emily-ratajkowski-hottest-moments-gallery-1.2103053?pmSlide=1.3532691,68460,21,text/html
http://www.nydailynews.com/tags/us-newswires/stories/5,108533,145,text/html
http://www.nydailynews.com/new-york/queens,121107,172,text/html
http://www.nydailynews.com/news/politics/president-trump-slams-san-juan-mayor-puerto-rico-leaders-article-1.3532130,97989,122,text/html
http://www.nydailynews.com/new-york/education/history-violence-nyc-schools-article-1.3526224,89663,112,text/html
http://www.nydailynews.com/tags/us-newswires/stories/6,108364,150,text/html
http://www.nydailynews.com/amp/newswires/sports/messi-2-barcelona-beats-las-palmas-empty-camp-nou-article-1.3534445,31908,18,text/html
http://www.nydailynews.com/entertainment/theater-arts,117741,160,text/html
http://www.nydailynews.com/sports/basketball,122031,164,text/html
http://www.nydailynews.com/horoscopes/libra,108362,131,text/html
http://www.nydailynews.com/newswires/new-york/police-cyclist-killed-hit-and-run-driver-brooklyn-article-1.3533040,84742,104,text/html
http://www.nydailynews.com/entertainment/movies/edges-tom-cruise-american-made-box-office-article-1.3534370,87634,106,text/html
