URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/autos/latest-reviews/flash-drive-2018-lincoln-navigator-review-article-1.3509479,100242,119,text/html
http://www.nydailynews.com/opinion/grounding-air-force-trump-article-1.3531238,82800,100,text/html
http://www.nydailynews.com/entertainment/twelve-best-true-crime-films-50-years-gallery-1.3525703,68503,20,text/html
http://www.nydailynews.com/news/politics/nunes-recusal-tip-president-trump-ethical-iceberg-article-1.3025047,104188,146,text/html
http://www.nydailynews.com/autos/buick,45775,149,text/html
http://www.nydailynews.com/entertainment/best-celebrity-twitter-photos-2011-gallery-1.999021,67896,20,text/html
http://www.nydailynews.com/news/national,124277,166,text/html
http://www.nydailynews.com/autos/latest-reviews/first-drive-2018-lexus-ls-review-article-1.3522391,102820,116,text/html
http://www.nydailynews.com/news/politics/gop-senator-8-10-republicans-concerned-health-bill-article-1.3330946,94506,119,text/html
http://www.nydailynews.com/sports/odds,97220,103,text/html
http://www.nydailynews.com/new-york/bronx/bronx-apartment-building-fire-kills-2-leaves-5-injured-article-1.3531752,93650,115,text/html
http://www.nydailynews.com/tags/puerto-rico,107429,156,text/html
http://www.nydailynews.com/autos/street-smarts/buying-car-smart-article-1.2542710,93952,110,text/html
http://www.nydailynews.com/news/national/trump-not-happy-tom-price-private-jets-article-1.3525351,89324,110,text/html
http://www.nydailynews.com/entertainment/tv/megyn-kelly-takes-jab-media-poor-reviews-new-show-article-1.3530769,89132,110,text/html
http://www.nydailynews.com/new-york,171843,303,text/html
http://www.nydailynews.com/tags/daily-views,106967,157,text/html
http://www.nydailynews.com/autos/volkswagen,55630,183,text/html
http://www.nydailynews.com/services/careers,24866,14,text/html
http://www.nydailynews.com/newswires/entertainment/vatican-newspaper-chimes-finally-young-pope-article-1.3532515,87858,104,text/html
http://www.nydailynews.com/news/politics/tom-price-vows-curtail-chartered-flights-review-article-1.3516888,87755,105,text/html
http://www.nydailynews.com/autos/ram,40781,135,text/html
http://www.nydailynews.com/entertainment/gossip/note-written-jim-carrey-claims-ruined-life-article-1.3532465,91360,112,text/html
http://www.nydailynews.com/autos/news/tesla-discontinues-model-s-base-trim-article-1.3527792,85650,105,text/html
http://www.nydailynews.com/sports/baseball/yankees,121345,160,text/html
http://www.nydailynews.com/opinion/ripoff-not-tax-plan-article-1.3531263,82894,100,text/html
http://www.nydailynews.com/news/politics,118964,154,text/html
http://www.nydailynews.com/autos/types/cpo,162129,503,text/html
http://www.nydailynews.com/autos/lexus,53444,178,text/html
http://www.nydailynews.com/news/politics/trump-cabinet-secretary-racks-300g-taxpayer-tab-flights-article-1.3511603,89532,108,text/html
http://www.nydailynews.com/sports,167657,294,text/html
http://www.nydailynews.com/autos/cadillac,45993,149,text/html
http://www.nydailynews.com/autos/news/opinion-genesis-brand-future-korean-culture-article-1.3525149,92406,110,text/html
http://www.nydailynews.com/entertainment/tv,118487,160,text/html
http://www.nydailynews.com/services/contact-us,98390,100,text/html
http://www.nydailynews.com/newswires/news/national/puerto-rico-mayor-begs-aid-trump-praises-response-article-1.3531599,93581,106,text/html
http://www.nydailynews.com/horoscopes/daily,109277,125,text/html
http://www.nydailynews.com/sports/football/giants/10-keys-giants-win-no-1-buccaneers-sunday-article-1.3532309,95676,114,text/html
http://www.nydailynews.com/autos/jeep,54316,175,text/html
http://www.nydailynews.com/news/world/engine-destroyed-air-france-flight-paris-la-article-1.3532414,88975,111,text/html
http://www.nydailynews.com/news/politics/karen-handel-gop-woman-rep-ga-congress-article-1.3265771,93203,113,text/html
http://www.nydailynews.com/opinion,134873,229,text/html
http://www.nydailynews.com/autos/news/ford-integrate-autonomous-cars-lyft-network-article-1.3524661,82756,108,text/html
http://www.nydailynews.com/tags/auto-news,107214,157,text/html
http://www.nydailynews.com/new-york/heir-holden-caulfield-inspiration-15m-article-1.3532689,99094,116,text/html
http://www.nydailynews.com/news/national/sex-offender-arrested-1980-murder-pregnant-newlywed-article-1.3532436,91953,115,text/html
http://www.nydailynews.com/autos/gallery-2018-toyota-rav4-adventure-photos-gallery-1.3506281,26900,20,text/html
http://www.nydailynews.com/news/politics/zinke-latest-trump-aide-pricey-taxpayer-funded-flights-article-1.3529152,94022,111,text/html
http://www.nydailynews.com/horoscopes/monthly,118004,137,text/html
http://www.nydailynews.com/life-style/ife-3-ways-overcome-feeling-powerless-article-1.3504692,88631,105,text/html
http://www.nydailynews.com/autos/news/bmw-mini-alexa-connectivity-nissan-2018-armada-article-1.3511362,88387,113,text/html
http://www.nydailynews.com/autos/eye-candy-audi-rs-4-avant-gallery-1.3498014,26381,20,text/html
http://www.nydailynews.com/entertainment/music,117570,159,text/html
http://www.nydailynews.com/newswires/news/business/paris-to-los-angeles-flight-diverted-engine-damage-article-1.3532605,84916,104,text/html
http://www.nydailynews.com/autos/porsche,39785,129,text/html
http://www.nydailynews.com/autos/latest-reviews/2018-kia-niro-hybrid-short-report-article-1.3514292,102874,119,text/html
http://www.nydailynews.com/entertainment/music/justin-bieber-issues-worse-people-realized-manager-article-1.3532324,89537,108,text/html
http://www.nydailynews.com/news/national/new-york-mother-arrested-murder-gymnastics-coach-boyfriend-article-1.3532565,87770,107,text/html
http://www.nydailynews.com/news/national/price-lunch-son-controversial-private-jet-travel-article-1.3523709,89909,107,text/html
http://www.nydailynews.com/entertainment/photos,112168,174,text/html
http://www.nydailynews.com/autos/types/hybrid,58775,191,text/html
http://www.nydailynews.com/autos/toyota/toyota-camry-2018-1.2896184,37941,116,text/html
http://www.nydailynews.com/new-york/brooklyn,123509,172,text/html
http://www.nydailynews.com/sports/basketball/nba-memo-reminds-teams-stand-national-anthem-article-1.3532858,92093,106,text/html
http://www.nydailynews.com/autos/types/diesel,54592,178,text/html
http://www.nydailynews.com/autos/awards/daily-news-autos-awards-what-is-the-best-car-article-1.3012888,93965,127,text/html
http://www.nydailynews.com/entertainment/amanda-bynes-bizarre-behavior-gallery-1.1332306,67840,20,text/html
http://www.nydailynews.com/entertainment/theater-arts/lin-manuel-miranda-trump-straight-hell-article-1.3532227,94720,125,text/html
http://www.nydailynews.com/news/politics/top-white-house-staffers-danger-boot-article-1.3366790,104244,134,text/html
http://www.nydailynews.com/newswires/news/business/google-cooperating-russia-probe-twitter-slammed-article-1.3531651,85073,104,text/html
http://www.nydailynews.com/autos/mercedes-benz,63729,207,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-subaru-outback-list-article-1.3513375,104905,120,text/html
http://www.nydailynews.com/life-style/carve-jack-o-lantern-halloween-wars-star-article-1.3527692,91311,104,text/html
http://www.nydailynews.com/autos/news/2020-mercedes-benz-glc-f-cell-hydrogen-electric-suv-preview-article-1.3492863,95520,121,text/html
http://www.nydailynews.com/sports/basketball/nets,121919,160,text/html
http://www.nydailynews.com/autos/subaru,52017,171,text/html
http://www.nydailynews.com/autos/news/bmw-mini-amazon-alexa-integration-mid-2018-article-1.3530003,82980,105,text/html
http://www.nydailynews.com/news/politics/trump-brags-gop-barely-avoiding-disaster-georgia-race-article-1.3073935,91306,112,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volvo-xc60-list-article-1.3514215,104374,123,text/html
http://www.nydailynews.com/autos/volvo,40278,133,text/html
http://www.nydailynews.com/sports/more-sports,120446,157,text/html
http://www.nydailynews.com/horoscopes/leo,107948,131,text/html
http://www.nydailynews.com/autos/mazda/mazda-cx-9-2017-1.3011261,36631,112,text/html
http://www.nydailynews.com/autos/news/ford-virginia-tech-transit-van-self-driving-disguise-video-article-1.3506762,84099,105,text/html
http://www.nydailynews.com/news/national/woman-left-kids-germany-trip-slammed-ex-husband-article-1.3532715,89900,110,text/html
http://www.nydailynews.com/news/politics/president-trump-slams-san-juan-mayor-puerto-rico-leaders-article-1.3532130,96743,123,text/html
http://www.nydailynews.com/autos/bmw,60920,207,text/html
http://www.nydailynews.com/sports/baseball/yankees/judge-sets-yankees-franchise-record-33rd-hr-stadium-article-1.3532529,89156,105,text/html
http://www.nydailynews.com/autos/honda,54375,179,text/html
http://www.nydailynews.com/horoscopes/taurus,108047,131,text/html
http://www.nydailynews.com/entertainment/theater-arts,118248,160,text/html
http://www.nydailynews.com/autos/types/sedan,174688,600,text/html
http://www.nydailynews.com/autos/types/convertible,78051,241,text/html
http://www.nydailynews.com/life-style/eats,120240,159,text/html
http://www.nydailynews.com/autos/types/crossover,145379,499,text/html
http://www.nydailynews.com/autos/awards,99241,236,text/html
http://www.nydailynews.com/horoscopes/libra,108051,131,text/html
http://www.nydailynews.com/entertainment/gossip/bad-girls-club-gallery-1.14246,67806,21,text/html
http://www.nydailynews.com/tags/future-cars,106036,154,text/html
http://www.nydailynews.com/news/national/cocaine-cowboys-gave-drug-money-cia-tied-plot-kill-castro-article-1.3532426,93812,114,text/html
http://www.nydailynews.com/autos/mini,41937,137,text/html
http://www.nydailynews.com/news/earthquake-strikes-mexico-city-gallery-1.3506786,67062,20,text/html
http://www.nydailynews.com/newswires/entertainment/miley-cyrus-packs-honky-tonk-release-new-album-article-1.3532174,91109,106,text/html
http://www.nydailynews.com/autos/street-smarts/how-to-avoid-buying-flood-damaged-car-article-article-1.2760168,95516,110,text/html
http://www.nydailynews.com/autos/smart,30204,103,text/html
http://www.nydailynews.com/sports/baseball/yankees/yankees-fan-ejected-jeffrey-maier-esque-play-article-1.3532591,86412,107,text/html
http://www.nydailynews.com/autos/news/jaguar-electric-sports-cars-article-1.3524785,83666,106,text/html
http://www.nydailynews.com/autos/types/minivan,47655,145,text/html
http://www.nydailynews.com/autos/buyers-guide,94075,262,text/html
http://www.nydailynews.com/tags/entertainment-newswires,107868,154,text/html
http://www.nydailynews.com/tags/street-smarts,107639,157,text/html
http://www.nydailynews.com/horoscopes/weekly,117514,137,text/html
http://www.nydailynews.com/newswires/new-york/broker-dealer-2b-new-york-pension-scandal-avoids-jail-article-1.3532196,85094,104,text/html
http://www.nydailynews.com/life-style/berlin-festival-lights-turns-city-glowing-art-installation-gallery-1.3532337,68246,20,text/html
http://www.nydailynews.com/autos/genesis,29401,101,text/html
http://www.nydailynews.com/autos/2017-bmw-i8-photos-gallery-1.3525200,26513,20,text/html
http://www.nydailynews.com/new-york/queens,121393,171,text/html
http://www.nydailynews.com/autos/nissan,61356,207,text/html
http://www.nydailynews.com/autos/hyundai,60570,196,text/html
http://www.nydailynews.com/services/feeds,72181,176,text/html
http://www.nydailynews.com/sports/hockey/rangers,121744,158,text/html
http://www.nydailynews.com/horoscopes/pisces,108032,131,text/html
http://www.nydailynews.com/autos/types/truck,74844,233,text/html
http://www.nydailynews.com/horoscopes/aquarius,108153,131,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/rapper-darryl-dmc-mcdaniels-new-comic-book-week-article-1.3531010,87422,105,text/html
http://www.nydailynews.com/tags/hugh-hefner,106679,150,text/html
http://www.nydailynews.com/autos/gallery-2018-nissan-pathfinder-photos-gallery-1.3508607,26980,20,text/html
http://www.nydailynews.com/autos/audi,61738,207,text/html
http://www.nydailynews.com/sports/basketball,123294,162,text/html
http://www.nydailynews.com/autos/mitsubishi,37582,123,text/html
http://www.nydailynews.com/autos/ford,60235,207,text/html
http://www.nydailynews.com/horoscopes/sagittarius,108254,131,text/html
http://www.nydailynews.com/services/sitemap,110361,121,text/html
http://www.nydailynews.com/sports/hockey,122134,164,text/html
http://www.nydailynews.com/autos/news/2019-genesis-g70-preview-article-1.3497808,96631,118,text/html
http://www.nydailynews.com/entertainment/tv/mark-feuerstein-new-sitcom-9jkl-based-life-article-1.3532710,93852,112,text/html
http://www.nydailynews.com/sports/football/jets/jets-fans-divided-winning-franchise-qb-draft-article-1.3532357,94908,113,text/html
http://www.nydailynews.com/autos/scion,31180,105,text/html
http://www.nydailynews.com/autos/kia,57790,193,text/html
http://www.nydailynews.com/horoscopes/aries,108029,131,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-chevrolet-traverse-list-article-1.3480456,105453,121,text/html
http://www.nydailynews.com/autos/latest-reviews/flash-drive-2019-genesis-g70-sport-review-article-1.3505981,95199,115,text/html
http://www.nydailynews.com/news/national/cher-sues-billionaire-alleging-stock-sale-fraud-article-1.3531741,86197,107,text/html
http://www.nydailynews.com/newswires/news/national/ap-sources-note-church-shooting-refers-roof-shooting-article-1.3531610,88922,104,text/html
http://www.nydailynews.com/horoscopes/capricorn,108117,131,text/html
http://www.nydailynews.com/news/world/gruesome-congo-military-cargo-plane-crash-kills-10-article-1.3532165,86955,106,text/html
http://www.nydailynews.com/entertainment/movies,118230,160,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-cadillac-cts-article-1.3511360,116693,121,text/html
http://www.nydailynews.com/tags/harlem,107041,154,text/html
http://www.nydailynews.com/autos/types/hatchback,98290,325,text/html
http://www.nydailynews.com/new-york/nypd-lieutenant-sues-called-n-word-u-s-open-attendant-article-1.3531296,90231,111,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-subaru-crosstrek-list-article-1.3461442,105570,123,text/html
http://www.nydailynews.com/amp/new-york/biker-hurt-slams-motorcycle-median-article-1.3532313,25509,19,text/html
