URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/entertainment/music/aerosmith-cancels-shows-due-steven-tyler-medical-issues-article-1.3523015,88266,109,text/html
http://www.nydailynews.com/tags/anthony-weiner,107367,157,text/html
http://www.nydailynews.com/new-york/education/cornell-tech-campus-roosevelt-island-opens-wednesday-article-1.3491052,89847,109,text/html
http://www.nydailynews.com/tags/hurricane-maria,107111,150,text/html
http://www.nydailynews.com/newswires/new-york/lawmaker-proposes-report-cards-new-york-institutions-article-1.3523384,87870,105,text/html
http://www.nydailynews.com/tags/united-nations,107480,157,text/html
http://www.nydailynews.com/sports/football/giants/mcadoo-giants-sinking-ship-hold-odell-accountable-article-1.3523543,97343,117,text/html
http://www.nydailynews.com/entertainment/tv,119022,161,text/html
http://www.nydailynews.com/services/terms-services,122638,101,text/html
http://www.nydailynews.com/new-york/boy-suffers-seizure-school-bus-driver-questions-mother-article-1.3509023,93306,114,text/html
http://www.nydailynews.com/autos/gmc,60539,177,text/html
http://www.nydailynews.com/sports/football/giants/giants-tough-decision-odell-beckham-jr-s-immaturity-article-1.3520612,99383,115,text/html
http://www.nydailynews.com/entertainment/pete-davidson-reveals-borderline-personality-disorder-diagnosis-article-1.3522666,90606,112,text/html
http://www.nydailynews.com/sports/hockey/rangers/decisions-rangers-rookies-lias-andersson-filip-chytil-loom-article-1.3523574,90328,109,text/html
http://www.nydailynews.com/life-style/health,118468,160,text/html
http://www.nydailynews.com/news/politics/malliotakis-trump-nfl-protesting-u-s-anthem-article-1.3523337,90766,113,text/html
http://www.nydailynews.com/new-york/manhattan,121532,171,text/html
http://www.nydailynews.com/sports/football/matt-light-sunday-ashamed-patriot-article-1.3522850,92974,116,text/html
http://www.nydailynews.com/sports/football/brent-musberger-takes-shot-tony-romo-broadcasting-skills-article-1.3522798,89331,113,text/html
http://www.nydailynews.com/new-york/brooklyn,121853,173,text/html
http://www.nydailynews.com/entertainment/tv/modern-family-star-sofia-vergara-tv-highest-paid-actress-article-1.3522775,90992,117,text/html
http://www.nydailynews.com/newswires/sports/nfl-opts-not-react-trump-anthem-kneel-rule-tweet-article-1.3521978,91594,106,text/html
http://www.nydailynews.com/tags/us-newswires,107715,154,text/html
http://www.nydailynews.com/life-style/equifax-breach-latest-challenge-consumer-rights-privacy-article-1.3504411,90653,115,text/html
http://www.nydailynews.com/news/crime,117669,156,text/html
http://www.nydailynews.com/entertainment/best-selfies-time-gallery-1.1522211,68771,20,text/html
http://www.nydailynews.com/sports/postponed-due-weather-worst-natural-disasters-sports-gallery-1.3481153,68858,20,text/html
http://www.nydailynews.com/horoscopes/scorpio,108693,132,text/html
http://www.nydailynews.com/tags/auto-videos,107362,152,text/html
http://www.nydailynews.com/sports/jets-30-starting-quarterbacks-joe-namath-gallery-1.3461481,69095,20,text/html
http://www.nydailynews.com/sports/football,125899,172,text/html
http://www.nydailynews.com/sports/baseball/mets,119490,162,text/html
http://www.nydailynews.com/sports/id-click-that,121225,158,text/html
http://www.nydailynews.com/entertainment/gossip/game-thrones-stars-kit-harington-rose-leslie-engaged-article-1.3523010,90069,115,text/html
http://www.nydailynews.com/autos/news/porsche-innodrive-adaptive-cruise-control-system-2019-cayenne-article-1.3480251,85279,108,text/html
http://www.nydailynews.com/sports/baseball/brian-mcnamee-lawyer-relieved-client-isn-jail-article-1.3523474,91608,110,text/html
http://www.nydailynews.com/entertainment/music,117934,161,text/html
http://www.nydailynews.com/new-york/education/pace-university-students-blame-school-active-shooter-scare-article-1.3509860,94644,115,text/html
http://www.nydailynews.com/news/world/pitbull-sends-private-plane-rescue-cancer-patients-pr-article-1.3523262,88489,109,text/html
http://www.nydailynews.com/new-york/manhattan/water-begins-flooding-world-trade-center-elevator-article-1.3522842,87720,110,text/html
http://www.nydailynews.com/sports/odds,97367,104,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/jose-reyes-baby-mama-charged-felony-weapon-possession-article-1.3523271,88168,112,text/html
http://www.nydailynews.com/autos/news/volvo-unveils-2019-xc40-2018-odyssey-earns-tsp-article-1.3511901,95764,121,text/html
http://www.nydailynews.com/news/national/customer-finds-maggots-wawa-sandwich-article-1.3523079,87455,109,text/html
http://www.nydailynews.com/sports/hockey/islanders/islanders-acquire-jordan-eberle-oilers-ryan-strome-article-1.3269141,87345,106,text/html
http://www.nydailynews.com/newswires/news/national/republican-sen-corker-announces-won-seek-re-election-article-1.3523144,91421,105,text/html
http://www.nydailynews.com/newswires/news/national/latest-pentagon-boosts-troop-numbers-puerto-rico-article-1.3522472,94464,106,text/html
http://www.nydailynews.com/tags/business-newswires,108010,152,text/html
http://www.nydailynews.com/new-york/brooklyn/quiz-train-stops-article-1.3522908,86727,111,text/html
http://www.nydailynews.com/newswires/entertainment/aerosmith-steven-tyler-returns-medical-care-article-1.3523520,85266,105,text/html
http://www.nydailynews.com/sports/baseball/yankees/aaron-judge-breaks-mark-mcgwire-rookie-home-run-record-article-1.3520223,91000,108,text/html
http://www.nydailynews.com/newswires/news/national/trump-suddenly-focuses-puerto-rico-promises-visit-aid-article-1.3522358,93622,107,text/html
http://www.nydailynews.com/news,152639,260,text/html
http://www.nydailynews.com/entertainment/fanatic-celebrity-fans-gallery-1.2563937,67449,19,text/html
http://www.nydailynews.com/new-york/manhattan/harry-macklowe-seeks-annex-part-wife-nyc-pad-divorce-article-1.3523307,94194,111,text/html
http://www.nydailynews.com/opinion,136718,229,text/html
http://www.nydailynews.com/sports/basketball/nets,121153,160,text/html
http://www.nydailynews.com/opinion/donald-trump-capable-genuine-strategic-thinking-article-1.3522752,91829,114,text/html
http://www.nydailynews.com/autos/2018-porsche-panamera-turbo-s-e-hybrid-sport-turismo-photos-gallery-1.3522255,28511,20,text/html
http://www.nydailynews.com/life-style/ife-3-ways-overcome-feeling-powerless-article-1.3504692,88783,106,text/html
http://www.nydailynews.com/sports/hockey/islanders/peter-laviolette-shows-mike-milbury-isles-losers-article-1.3189059,98930,123,text/html
http://www.nydailynews.com/new-york/bronx,122785,172,text/html
http://www.nydailynews.com/news/crime/oxford-university-student-avoids-jail-stabbing-boyfriend-article-1.3523012,87739,106,text/html
http://www.nydailynews.com/horoscopes/leo,108470,132,text/html
http://www.nydailynews.com/new-york-daily-news-front-pages-gallery-1.2943303,66548,20,text/html
http://www.nydailynews.com/horoscopes/aries,108577,132,text/html
http://www.nydailynews.com/autos/types/sports-car,75069,239,text/html
http://www.nydailynews.com/newswires/news/business/lawsuit-waitress-fired-religious-objection-pants-article-1.3523107,87011,105,text/html
http://www.nydailynews.com/sports/postponed-due-weather-worst-natural-disasters-sports-gallery-1.3481179,69021,20,text/html
http://www.nydailynews.com/new-york/lovett-skelos-corruption-case-stick-article-1.3522704,97054,115,text/html
http://www.nydailynews.com/autos/chevrolet,62333,207,text/html
http://www.nydailynews.com/life-style/drink-water-amount-article-1.3504556,89744,104,text/html
http://www.nydailynews.com/sports/basketball/knicks,120836,159,text/html
http://www.nydailynews.com/news/politics/de-blasio-visits-nyu-reminisce-college-days-article-1.3523553,94225,113,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volkswagen-atlas-list-article-1.3498265,104621,121,text/html
http://www.nydailynews.com/sports/alex-rodriguez-women-gallery-1.1186968,67958,20,text/html
http://www.nydailynews.com/sports/serena-williams-grand-slam-titles-gallery-1.2354068,68944,20,text/html
http://www.nydailynews.com/newswires/news/business/collapsed-mexico-school-raises-questions-quake-codes-article-1.3521431,97436,107,text/html
http://www.nydailynews.com/news/national,123232,168,text/html
http://www.nydailynews.com/sports/football/directv-refunds-sunday-ticket-subscribers-upset-nfl-protests-article-1.3523593,88998,111,text/html
http://www.nydailynews.com/horoscopes/libra,108615,132,text/html
http://www.nydailynews.com/newswires/entertainment/saturday-night-live-adds-3-new-cast-members-season-43-article-1.3523521,85127,105,text/html
http://www.nydailynews.com/life-style/cutest-kids-hollywood-gallery-1.53200,67409,21,text/html
http://www.nydailynews.com/tags/daily-views,107115,158,text/html
http://www.nydailynews.com/autos/buyers-guide,94214,263,text/html
http://www.nydailynews.com/sports/baseball/yankees,120667,161,text/html
http://www.nydailynews.com/tags/entertainment-newswires,107807,152,text/html
http://www.nydailynews.com/new-york/nyc-crime/14-women-claim-priest-sexually-abused-nyc-school-80s-article-1.3522552,94226,108,text/html
http://www.nydailynews.com/news/oktoberfest-2017-beer-lovers-celebrate-annual-festival-munich-gallery-1.3522648,68404,21,text/html
http://www.nydailynews.com/services/feeds,72442,176,text/html
http://www.nydailynews.com/life-style/eats,119385,159,text/html
http://www.nydailynews.com/entertainment/brady-bunch-gallery-1.93780,66757,19,text/html
http://www.nydailynews.com/newswires/sports/prosecutors-won-file-charges-dolphins-landry-article-1.3523633,86204,105,text/html
http://www.nydailynews.com/tags/world-newswires,107747,147,text/html
http://www.nydailynews.com/entertainment/movies,119559,161,text/html
http://www.nydailynews.com/new-york/queens,122435,170,text/html
http://www.nydailynews.com/newswires/sports/turnovers-concern-spartans-eye-big-ten-opener-article-1.3523662,92061,107,text/html
http://www.nydailynews.com/sports/baseball,121524,163,text/html
http://www.nydailynews.com/services,39105,60,text/html
http://www.nydailynews.com/sports/soccer,124221,166,text/html
http://www.nydailynews.com/news/politics/councilman-schools-equipped-treat-asthma-attacks-article-1.3523635,85537,105,text/html
http://www.nydailynews.com/autos/news/subaru-viziv-performance-concept-tokyo-auto-show-2017-article-1.3522157,86086,110,text/html
http://www.nydailynews.com/entertainment,156807,279,text/html
http://www.nydailynews.com/news/national/wife-swingers-party-allegedly-attacked-husband-minivan-article-1.3523570,86664,106,text/html
http://www.nydailynews.com/newswires/new-york/lecturer-hitler-comments-video-context-article-1.3523143,85281,105,text/html
http://www.nydailynews.com/tags/new-york-newswires,107615,140,text/html
http://www.nydailynews.com/sports/basketball,119430,164,text/html
http://www.nydailynews.com/autos/types/suv,143449,500,text/html
http://www.nydailynews.com/new-york/nyc-crime,116468,156,text/html
http://www.nydailynews.com/autos/photos,74598,172,text/html
http://www.nydailynews.com/new-york/weather,22218,48,text/html
http://www.nydailynews.com/new-york/nyc-crime/anthony-weiner-won-easy-time-prison-article-1.3520901,89603,109,text/html
http://www.nydailynews.com/news/national/baby-found-abandoned-cash-birth-certificate-article-1.3522082,87611,108,text/html
http://www.nydailynews.com/newswires/news/national/fema-head-ships-troops-headed-puerto-rico-article-1.3523400,91207,106,text/html
http://www.nydailynews.com/news/national/unconscious-patient-utah-nurse-arrested-protecting-dies-article-1.3522570,89815,112,text/html
http://www.nydailynews.com/newswires/news/world/latest-saudi-envoy-women-driving-huge-step-article-1.3523054,92917,107,text/html
http://www.nydailynews.com/services/mobile,9973,33,text/html
http://www.nydailynews.com/sports/basketball/knicks/knicks-cavs-trade-carmelo-wouldn-worked-article-1.3523188,90670,113,text/html
http://www.nydailynews.com/sports/college,122663,166,text/html
http://www.nydailynews.com/latino,117412,160,text/html
http://www.nydailynews.com/news/crime/group-youths-assaults-teens-li-burger-king-article-1.3522861,88062,109,text/html
http://www.nydailynews.com/new-york/queens/guard-injured-fatal-queens-crash-plans-sue-city-5m-article-1.3522697,91849,113,text/html
http://www.nydailynews.com/newswires/sports/ap-source-wade-sign-cavaliers-reunite-lebron-article-1.3522783,93536,107,text/html
http://www.nydailynews.com/entertainment/gossip/confidential/jose-menendez-actor-law-order-script-not-page-article-1.3523315,87964,107,text/html
http://www.nydailynews.com/entertainment/gossip,120508,161,text/html
http://www.nydailynews.com/entertainment/gossip/wendy-williams-shuts-rumors-husband-affair-article-1.3522925,87370,108,text/html
http://www.nydailynews.com/services/privacy-policy,116416,107,text/html
http://www.nydailynews.com/tags/staten-island,107578,157,text/html
http://www.nydailynews.com/tags/sports-newswires,107816,156,text/html
http://www.nydailynews.com/news/donald-trump-road-white-house-election-day-gallery-1.2945034,69142,21,text/html
http://www.nydailynews.com/sports/football/jets,119537,161,text/html
http://www.nydailynews.com/newswires/news/world/puerto-rico-emerges-storm-water-food-scarce-article-1.3521821,91039,106,text/html
http://www.nydailynews.com/sports,167305,290,text/html
http://www.nydailynews.com/entertainment/gossip/celebrity-fit-club-stars-stay-shape-gallery-1.1114242,68964,21,text/html
http://www.nydailynews.com/services/media-kit,23329,54,text/html
http://www.nydailynews.com/newswires/new-york/conviction-reversal-adds-intrigue-menendez-bribery-trial-article-1.3523145,89908,105,text/html
http://www.nydailynews.com/autos/types/hatchback,96691,319,text/html
http://www.nydailynews.com/news/politics/scaramucci-drops-paternity-testing-estranged-wife-newborn-article-1.3523020,88967,111,text/html
http://www.nydailynews.com/newswires/news/world/iran-points-warns-new-nuclear-arms-race-article-1.3523390,89181,105,text/html
http://www.nydailynews.com/sports/more-sports/mighty-quinn-september-27-article-1.3523613,84430,101,text/html
http://www.nydailynews.com/autos/toyota,60415,207,text/html
http://www.nydailynews.com/horoscopes?c=libra&d=20170926&type=daily,122084,144,text/html
http://www.nydailynews.com/news/world/husband-wife-found-dead-apparent-murder-suicide-article-1.3523093,87608,109,text/html
http://www.nydailynews.com/news/national/cia-director-mike-pompeo-no-show-scheduled-harvard-talk-article-1.3496603,94620,119,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-honda-civic-hatchback-sport-article-1.2954528,119268,139,text/html
http://www.nydailynews.com/autos/latest-reviews/flash-drive-2018-lincoln-navigator-review-article-1.3509479,100365,120,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-subaru-crosstrek-list-article-1.3461442,105693,124,text/html
http://www.nydailynews.com/entertainment/photos,112286,175,text/html
http://www.nydailynews.com/entertainment/movies/kevin-hart-talks-play-santa-disney-movie-report-article-1.2846570,86683,107,text/html
http://www.nydailynews.com/autos/chrysler,40638,131,text/html
http://www.nydailynews.com/tags/newswires,107572,154,text/html
http://www.nydailynews.com/autos/news/2019-porsche-cayenne-turbo-preview-article-1.3492783,91223,117,text/html
http://www.nydailynews.com/new-york/nycproblems-new-yorkers-reveal-daily-struggles-hilarious-photos-gallery-1.2408680,68538,21,text/html
http://www.nydailynews.com/amp/newswires/entertainment/judges-split-making-murderer-appeal-article-1.3521524,32054,18,text/html
http://www.nydailynews.com/new-york/stony-brook-students-beat-odds-stacked-foster-youth-article-1.3501946,96098,114,text/html
http://www.nydailynews.com/autos/news/kia-niro-amazon-alexa-skill-app-smartphone-technology-article-1.3449330,84172,114,text/html
http://www.nydailynews.com/newswires/entertainment/dukes-hazzard-star-charged-assaulting-girl-16-article-1.3523056,87403,105,text/html
http://www.nydailynews.com/entertainment/kevin-hart-run-new-york-city-marathon-article-1.3370131,87387,114,text/html
http://www.nydailynews.com/new-york/nyc-crime/brooklyn-high-schooler-caught-gun-day-class-article-1.3477494,91338,110,text/html
http://www.nydailynews.com/amp/sports/basketball/knicks/melo-leaves-knicks-good-terms-agent-talks-win-win-trade-article-1.3523301,28890,21,text/html
http://www.nydailynews.com/new-york/new-york-focus-gallery-1.3500719,66843,21,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-honda-odyssey-list-article-1.3438895,103412,119,text/html
http://www.nydailynews.com/sports/more-sports,119647,155,text/html
http://www.nydailynews.com/life-style/create-solid-financial-plan-start-small-steps-article-1.3289258,87104,107,text/html
http://www.nydailynews.com/entertainment/theater-arts,120140,161,text/html
http://www.nydailynews.com/new-york/education/school-gallery-1.39700,66764,21,text/html
http://www.nydailynews.com/new-york/motorcyclist-killed-s-slamming-back-truck-article-1.3518581,86207,105,text/html
http://www.nydailynews.com/new-york/yonkers-police-officer-shot-chin-identified-kayla-maher-article-1.3522430,99139,124,text/html
http://www.nydailynews.com/horoscopes/sagittarius,108778,132,text/html
http://www.nydailynews.com/life-style/video-makers-explore-virtual-reality-adults-japan-gallery-1.3522725,68616,21,text/html
http://www.nydailynews.com/sports/football/giants,118645,158,text/html
http://www.nydailynews.com/horoscopes/cancer,108627,132,text/html
http://www.nydailynews.com/autos/news/2018-volvo-xc40-safety-technology-video-article-1.3474621,84597,112,text/html
http://www.nydailynews.com/entertainment/gossip/kevin-hart-appears-admit-cheating-pregnant-wife-apology-article-1.3500878,92010,112,text/html
http://www.nydailynews.com/news/world,123516,169,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-toyota-corolla-article-1.3000297,116137,126,text/html
http://www.nydailynews.com/newswires/sports/thunder-gm-presti-evolves-surrounds-westbrook-stars-article-1.3523622,90229,105,text/html
http://www.nydailynews.com/newswires/entertainment/dior-fuses-60s-spirit-women-lib-paris-fashion-week-article-1.3522893,96788,107,text/html
http://www.nydailynews.com/entertainment/gossip/fbi-reportedly-identifies-suspect-kevin-hart-extortion-scandal-article-1.3501982,90773,111,text/html
http://www.nydailynews.com/sports/basketball/dwyane-wade-reaches-one-year-deal-cavaliers-article-1.3522819,87841,109,text/html
http://www.nydailynews.com/new-york/brooklyn/domino-pizza-deliveryman-shot-hand-brooklyn-article-1.3523268,86698,107,text/html
http://www.nydailynews.com/entertainment/gossip/kevin-hart-wife-hold-118g-baby-shower-extortion-scandal-article-1.3511019,90880,116,text/html
http://www.nydailynews.com/autos/latest-reviews/first-drive-2018-lexus-ls-review-article-1.3522391,102691,117,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-ford-escape-article-1.2883476,115498,139,text/html
http://www.nydailynews.com/entertainment/kevin-hart-shrugs-cheating-rumors-article-1.3342433,90568,109,text/html
http://www.nydailynews.com/autos/gallery-2017-daily-news-autos-awards-recommended-models-gallery-1.3098486,27584,20,text/html
http://www.nydailynews.com/newswires/new-york/ex-ny-senate-leader-skelos-new-trial-corruption-case-article-1.3522442,90085,105,text/html
http://www.nydailynews.com/autos/news/opinion-mitsubishi-e-evolution-concept-continues-dangerous-trend-article-1.3508825,90196,113,text/html
http://www.nydailynews.com/tags/new-york-assaults,107828,158,text/html
http://www.nydailynews.com/new-york/john-samuelsen-elected-president-transport-workers-union-article-1.3523655,95017,110,text/html
http://www.nydailynews.com/autos/latest-reviews/ratings-review-2017-lincoln-continental-article-1.2971185,123572,149,text/html
http://www.nydailynews.com/tags/stacey-dash,103788,138,text/html
http://www.nydailynews.com/authors?author=Frank-Isola,107809,160,text/html
http://www.nydailynews.com/autos/latest-reviews/comparison-test-2017-honda-cr-v-2017-toyota-rav4-article-1.3032456,129739,153,text/html
http://www.nydailynews.com/tags/crown-heights,107675,158,text/html
http://www.nydailynews.com/tags/oklahoma-city-thunder,107847,156,text/html
http://www.nydailynews.com/sports/football/jets/kevin-mawae-strong-opinions-hard-land-nfl-job-article-1.3523374,93095,110,text/html
http://www.nydailynews.com/tags/hate-crimes,107401,158,text/html
http://www.nydailynews.com/tags/carmelo-anthony,110845,167,text/html
http://www.nydailynews.com/autos/latest-reviews/short-report-2017-nissan-rogue-article-1.3006562,116389,130,text/html
http://www.nydailynews.com/sports/basketball/knicks/knicks-exhale-melo-phil-jackson-media-day-article-1.3520684,92022,111,text/html
http://www.nydailynews.com/amp/newswires/new-york/school-board-chair-defends-500-000-ballot-question-donation-article-1.3523563,28255,18,text/html
http://www.nydailynews.com/tags/infrastructure,94960,102,text/html
http://www.nydailynews.com/amp/life-style/reasons-stock-market-surprisingly-strong-article-1.3518634,29035,23,text/html
http://www.nydailynews.com/tags/nashville,107166,153,text/html
